# Curated extension of abstractness_en.tsv: same format, one
# "word<TAB>grade" (0 fully concrete .. 100 fully abstract) per line;
# entries here override the base lexicon. Grades are anchored against the
# base scale (table 2, database 25, documentation 36, strategy 77,
# synergy 88).

# Sense overrides: the corporate/technical sense differs from the everyday
# sense rated in the published norms.
accelerate	65
acceleration	70
accelerator	55
accrue	70
agility	82
alignment	85
amplification	72
amplify	65
audience	55
bandwidth	75
boilerplate	40
brand	55
breakpoint	30
cadence	72
capacity	70
capitalization	75
catalyst	68
catalyze	82
champion	60
churn	62
commit	35
conceptual	82
container	25
cross	50
crosscutting	70
crystallize	68
cultivate	68
debrief	50
debugger	25
decentralize	68
delegation	72
deprecate	58
deprecation	60
differentiation	82
differentiator	78
digitalization	85
digitization	75
digitize	65
disengagement	82
disruption	75
disruptor	65
distill	62
dogfood	50
downtime	45
drive	62
driver	55
driving	62
ecosystem	68
efficient	70
elevate	65
elevating	68
empowerment	88
enablement	88
enabler	80
engagement	80
evangelist	65
excellence	82
expedite	70
facilitate	78
fiduciary	82
flywheel	65
footprint	60
forecasting	70
frictionless	82
governance	85
granular	62
harmonization	82
harmonize	72
headcount	45
headwind	65
hedging	68
holistic	85
holistically	90
impact	72
incubate	65
incubation	70
incubator	45
institutionalization	88
institutionalize	85
intentionality	88
internationalization	72
landscape	65
latency	55
learning	60
leverage	85
leveraged	82
lint	35
liquidation	65
liquidity	80
margin	58
messaging	72
mindset	75
minimization	80
misalignment	82
mitigating	78
moat	55
modernization	80
monetize	80
onboard	50
optimize	75
orchestration	68
organizational	78
oversight	75
ownership	75
performance	65
personalize	68
pillar	60
pivot	60
playbook	35
positioning	80
postmortem	45
productivity	78
projection	70
rationalization	82
rationalize	75
realign	78
realignment	85
rebalance	65
rehire	45
reinvent	75
reinvention	80
remediate	72
repo	25
retrospective	55
roadmap	62
robustness	80
rollback	40
rollout	50
runway	55
scaffolding	45
scalability	78
scalable	72
scaling	60
seamless	78
segment	55
segmentation	72
shareholder	55
silo	55
solvent	70
spearhead	70
sponsorship	70
stakeholder	62
stewardship	82
storytelling	62
strategize	85
sunset	30
synergism	90
systematization	85
systematize	80
tailwind	65
takeaway	70
timeline	50
traction	65
transformation	82
turnover	65
unicorn	45
unlock	60
unlocking	65
upside	70
value	70
vertical	62
viral	65
visibility	75
visionary	80
wellbeing	78
whiteboard	15

# Abstract business/technical vocabulary absent from the norms.
abstractions	85
accelerating	68
accountabilities	85
accrual	75
accruals	75
actionables	82
activations	70
algorithmic	68
aligned	72
aligning	78
alignments	85
allocating	68
amortization	75
amortize	72
amplifying	70
arbitrage	75
async	55
asynchronous	60
attrition	72
audiences	58
auditability	85
auditable	75
automating	68
b2b	55
b2c	55
brainstormed	55
brainstorming	58
branding	72
brands	55
brownfield	55
budgeting	62
cadences	72
capabilities	80
capacities	72
capex	65
catalysts	68
catalyzing	82
championing	72
circleback	60
codification	78
codify	70
commoditization	85
commoditize	80
competencies	80
composability	82
